cveID,vendorProject,product,vulnerabilityName,dateAdded,shortDescription,requiredAction,dueDate,knownRansomwareCampaignUse,notes,cwes
CVE-2022-43769	"Hitachi Vantara"	"Pentaho Business Analytics (BA) Server"	"Hitachi Vantara Pentaho BA Server Special Element Injection Vulnerability"	2025-03-03	"Hitachi Vantara Pentaho BA Server contains a special element injection vulnerability that allows an attacker to inject Spring templates into properties files	 allowing for arbitrary command execution."	"Apply mitigations per vendor instructions	 follow applicable BOD 22-01 guidance for cloud services	 or discontinue use of the product if mitigations are unavailable."	2025-03-24,Unknown,"https://support.pentaho.com/hc/en-us/articles/14455561548301--Resolved-Pentaho-BA-Server-Failure-to-Sanitize-Special-Elements-into-a-Different-Plane-Special-Element-Injection-Versions-before-9-4-0-1-and-9-3-0-2-including-8-3-x-Impacted-CVE-2022-43769 ; https://nvd.nist.gov/vuln/detail/CVE-2022-43769",CWE-74
CVE-2022-43939	"Hitachi Vantara"	"Pentaho Business Analytics (BA) Server"	"Hitachi Vantara Pentaho BA Server Authorization Bypass Vulnerability"	2025-03-03	"Hitachi Vantara Pentaho BA Server contains a use of non-canonical URL paths for authorization decisions vulnerability that enables an attacker to bypass authorization."	"Apply mitigations per vendor instructions	 follow applicable BOD 22-01 guidance for cloud services	 or discontinue use of the product if mitigations are unavailable."	2025-03-24	Unknown,"https://support.pentaho.com/hc/en-us/articles/14455394120333--Resolved-Pentaho-BA-Server-Use-of-Non-Canonical-URL-Paths-for-Authorization-Decisions-Versions-before-9-4-0-1-and-9-3-0-2-including-8-3-x-Impacted-CVE-2022-43939- ; https://nvd.nist.gov/vuln/detail/CVE-2022-43939",CWE-647
CVE-2022-23748	Audinate	"Dante Discovery"	"Dante Discovery Process Control Vulnerability"	2025-02-06	"Dante Discovery contains a process control vulnerability in mDNSResponder.exe that all allows for a DLL sideloading attack. A local attacker can leverage this vulnerability in the Dante Application Library to execute arbitrary code."	"Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable."	2025-02-27	Unknown	"https://www.getdante.com/support/faq/audinate-response-to-dante-discovery-mdnsresponder-exe-security-issue-cve-2022-23748/ ; https://nvd.nist.gov/vuln/detail/CVE-2022-23748"	CWE-114
CVE-2022-23227	NUUO	"NVRmini2 Devices"	"NUUO NVRmini2 Devices Missing Authentication Vulnerability "	2024-12-18	"NUUO NVRmini2 devices contain a missing authentication vulnerability that allows an unauthenticated attacker to upload an encrypted TAR archive	 which can be abused to add arbitrary users. "	"The impacted product is end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue utilization of the product."	2025-01-08	Unknown	"https://nuuo.com/wp-content/uploads/2023/03/NUUO-EOL-letter＿NVRmini-2-and-NVRsolo-series.pdf ; https://nvd.nist.gov/vuln/detail/CVE-2022-23227",CWE-306
CVE-2022-21445	Oracle	"ADF Faces"	"Oracle ADF Faces Deserialization of Untrusted Data Vulnerability"	2024-09-18	"Oracle ADF Faces library	 included with Oracle JDeveloper Distribution	 contains a deserialization of untrusted data vulnerability leading to unauthenticated remote code execution."	"Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable."	2024-10-09	Unknown,"https://www.oracle.com/security-alerts/cpuapr2022.html  ;  https://nvd.nist.gov/vuln/detail/CVE-2022-21445",CWE-502
CVE-2022-0185	Linux	Kernel	"Linux Kernel Heap-Based Buffer Overflow Vulnerability"	2024-08-21	"Linux kernel contains a heap-based buffer overflow vulnerability in the legacy_parse_param function in the Filesystem Context functionality. This allows an attacker to open a filesystem that does not support the Filesystem Context API and ultimately escalate privileges."	"Apply updates per vendor instructions or discontinue use of the product if updates are unavailable."	2024-09-11	Unknown	"This vulnerability affects a common open-source component	 third-party library, or a protocol used by different products. For more information, please see: https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit?id=722d94847de2; https://nvd.nist.gov/vuln/detail/CVE-2022-0185",CWE-190
CVE-2022-22948	VMware	"vCenter Server"	"VMware vCenter Server Incorrect Default File Permissions Vulnerability "	2024-07-17	"VMware vCenter Server contains an incorrect default file permissions vulnerability that allows a remote	 privileged attacker to gain access to sensitive information."	"Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable."	2024-08-07	Unknown	"https://www.vmware.com/security/advisories/VMSA-2022-0009.html;  https://nvd.nist.gov/vuln/detail/CVE-2022-22948",CWE-276
CVE-2022-2586	Linux	Kernel	"Linux Kernel Use-After-Free Vulnerability"	2024-06-26	"Linux Kernel contains a use-after-free vulnerability in the nft_object	 allowing local attackers to escalate privileges. "	"Apply updates per vendor instructions or discontinue use of the product if updates are unavailable."	2024-07-17	Unknown	"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. For more information, please see: https://seclists.org/oss-sec/2022/q3/131;  https://nvd.nist.gov/vuln/detail/CVE-2022-2586",CWE-416
CVE-2022-24816	OSGeo	JAI-EXT	"OSGeo GeoServer JAI-EXT Code Injection Vulnerability"	2024-06-26	"OSGeo GeoServer JAI-EXT contains a code injection vulnerability that	 when programs use jt-jiffle and allow Jiffle script to be provided via network request	 could allow remote code execution."	"Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable."	2024-07-17	Unknown,"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. The patched JAI-EXT is version 1.1.22: https://github.com/geosolutions-it/jai-ext/releases/tag/1.1.22, https://github.com/geosolutions-it/jai-ext/security/advisories/GHSA-v92f-jx6p-73rx;  https://nvd.nist.gov/vuln/detail/CVE-2022-24816",CWE-94
CVE-2022-38028	Microsoft	Windows	"Microsoft Windows Print Spooler Privilege Escalation Vulnerability "	2024-04-23	"Microsoft Windows Print Spooler service contains a privilege escalation vulnerability. An attacker may modify a JavaScript constraints file and execute it with SYSTEM-level permissions."	"Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.  "	2024-05-14	Unknown	"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-38028;  https://nvd.nist.gov/vuln/detail/CVE-2022-38028"	
